Item,Category,Sustainability
Mass-produced Carrots,Vegetables,Unsustainable
Farmers Market Carrots,Vegetables,Sustainable
High-fructose Corn Syrup Candy Bars,Snacks,Unsustainable
Potato Chips (Palm Oil),Snacks,Unsustainable
Grass-fed Butter,Dairy,Sustainable
Imported Apples,Fruits,Unsustainable
Organic Yogurt,Dairy,Sustainable
Artificially Flavored Juice,Beverages,Unsustainable
Zero Waste Shampoo Bars,Personal Care,Sustainable
Frozen Breaded Fish,Seafood,Unsustainable
Reusable Cloth Bags,Household Items,Sustainable
Grass-fed Beef,Meat,Sustainable
Sugary Soft Drinks,Beverages,Unsustainable
Sugar-coated Cereal,Grains,Unsustainable
Organic Mustard,Condiments,Sustainable
Factory-farmed Chicken,Meat,Unsustainable
Processed Turkey Deli Meat,Meat,Unsustainable
Local Bananas,Fruits,Sustainable
Fair Trade Coffee,Beverages,Sustainable
Organic Spinach,Vegetables,Sustainable
Artificially Flavored Yogurt,Dairy,Unsustainable
Quinoa,Grains,Sustainable
Locally Sourced Honey,Condiments,Sustainable
Artificially Flavored Syrup,Condiments,Unsustainable
Plastic Bottled Water,Beverages,Unsustainable
Grain-fed Beef,Meat,Unsustainable
Sustainably Farmed Shrimp,Seafood,Sustainable
Non-Organic Bananas,Fruits,Unsustainable
Cow's Milk (Mass-produced),Dairy,Unsustainable
Glass-bottled Milk,Dairy,Sustainable
High-Sugar Ketchup,Condiments,Unsustainable
Whole Grain Bread,Grains,Sustainable
Wild-caught Salmon,Seafood,Sustainable
Organic Green Tea,Beverages,Sustainable
Locally Grown Broccoli,Vegetables,Sustainable
Single-use Plastic Bags,Household Items,Unsustainable
Processed Cheese Slices,Dairy,Unsustainable
Brown Rice,Grains,Sustainable
Mayonnaise with Preservatives,Condiments,Unsustainable
Refined Flour Bread,Grains,Unsustainable
Dried Organic Mangoes,Snacks,Sustainable
Chemical-based Shampoo Bottles,Personal Care,Unsustainable
Pole-and-line Caught Tuna,Seafood,Sustainable
Imported Shrimp (High Carbon Footprint),Seafood,Unsustainable
Pesticide-treated Lettuce,Vegetables,Unsustainable
Conventionally Grown Strawberries,Fruits,Unsustainable
Organic Peanut Butter,Condiments,Sustainable
White Rice,Grains,Unsustainable
Cold-pressed Juice,Beverages,Sustainable
Dark Chocolate (Fair Trade),Snacks,Sustainable
Commercial Coffee (Pesticide-treated),Beverages,Unsustainable
Farmed Salmon with Antibiotics,Seafood,Unsustainable
Plastic Cutlery,Kitchen Items,Unsustainable
Homemade Granola,Snacks,Sustainable
Pasture-raised Chicken,Meat,Sustainable
Genetically Modified Corn,Vegetables,Unsustainable
Microwavable Popcorn (Plastic Packaging),Snacks,Unsustainable
Almond Milk,Dairy,Sustainable
Eco-friendly Laundry Detergent,Household Items,Sustainable
Liquid Detergents in Plastic Jugs,Household Items,Unsustainable
Organic Apples,Fruits,Sustainable
Organic Blueberries,Fruits,Sustainable
Bamboo Utensils,Kitchen Items,Sustainable
Organic Turkey,Meat,Sustainable
